GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Recette_cuisine,cook.organization,Recette,13,0,0,0,7,0,6,0,6,0
Recette_cuisine,cook.organization,Ingredient,30,0,0,0,12,0,6,0,6,0
Recette_cuisine,cook.organization,Utilisateur,5,0,0,0,3,0,3,0,3,0
Recette_cuisine,cook.organization,Main,24,0,0,0,8,0,2,0,2,0
Recette_cuisine,cook.organization,Status,15,0,0,0,2,0,1,0,1,0
Recette_cuisine,cook.organization,Commentaire,30,0,0,0,12,0,6,0,6,0
Recette_cuisine,cook.organization,Administrateur,5,0,0,0,3,0,3,0,3,0
Recette_cuisine,cook.organization,Categorie,23,0,0,0,10,0,5,0,5,0
Recette_cuisine,cook.organization,Personne,31,0,0,0,13,0,9,0,9,0
Recette_cuisine,cook.organization.dao,RecetteDao,3,0,0,0,1,0,1,0,1,0
Recette_cuisine,cook.organization.dao,IngredientDao,3,0,0,0,1,0,1,0,1,0
Recette_cuisine,cook.organization.dao,DatabaseConnectionToH2,22,0,0,0,8,0,3,0,3,0
Recette_cuisine,cook.organization.dao,CategorieDao,3,0,0,0,1,0,1,0,1,0
Recette_cuisine,cook.organization.dao,CommentaireDao,3,0,0,0,1,0,1,0,1,0
Recette_cuisine,cook.organization.dao,PersonneDao,56,0,2,0,23,0,8,0,7,0
